timestamp,Active_Power,Weather_Temperature_Celsius,Weather_Relative_Humidity,Global_Horizontal_Radiation,Diffuse_Horizontal_Radiation,Wind_Direction,Weather_Daily_Rainfall
2018/4/19 0:00,0,18.554494857788,32.780765533447,1.9086180925369,0.50915211439133,70.900444030762,0
2018/4/19 0:05,0,18.350625991821,33.303955078125,2.3151111602783,0.83056139945984,70.304107666016,0
2018/4/19 0:10,0,18.195888519287,33.426433563232,2.5774722099304,0.9977422952652,70.520530700684,0
2018/4/19 0:15,0,17.939308166504,33.985427856445,2.7476243972778,1.2336537837982,66.458992004395,0
2018/4/19 0:20,0,17.975149154663,34.134796142578,2.5683078765869,1.0252990722656,70.506195068359,0
2018/4/19 0:25,0,18.181842803955,33.676826477051,2.6708042621613,1.1646640300751,70.668151855469,0
2018/4/19 0:30,0,18.051023483276,33.924362182617,2.859977722,1.3608672618866,70.764785766602,0
2018/4/19 0:35,0,17.952688217163,33.993900299072,2.8610804080963,1.3476294279099,69.879447937012,0
2018/4/19 0:40,0,17.844388961792,34.690811157227,2.8398504257202,1.3299334049225,69.50325012,0
2018/4/19 0:45,0,17.669328689575,35.086887359619,3.1141529083252,1.5473053455353,69.409118652344,0
2018/4/19 0:50,0,17.502828598022,35.318435668945,2.8157455921173,1.2694784402847,69.859115600586,0
2018/4/19 0:55,0,17.423934936523,36.164520263672,2.8552589416504,1.2559579610825,70.532470703125,0
2018/4/19 1:00,0,17.366550445557,36.748180389404,2.4970879554749,0.99797987937927,70.930526733398,0
2018/4/19 1:05,0,17.450037002563,37.341419219971,2.6105756759644,1.0589815378189,70.719352722168,0
2018/4/19 1:10,0,17.480005264282,37.971996307373,2.6064078807831,0.98306673765182,70.606742858887,0
2018/4/19 1:15,0,17.269264221191,39.35425568,2.7621800899506,1.1950350999832,70.530471801758,0
2018/4/19 1:20,0,17.121585845947,38.827171325684,2.7195358276367,1.1238830089569,70.639640808105,0
2018/4/19 1:25,0,17.15771484,38.238498687744,2.3914692401886,0.95272421836853,69.880821228027,0
2018/4/19 1:30,0,17.268873214722,37.617420196533,2.4866786003113,0.95952445268631,69.29670715,0
2018/4/19 1:35,0,17.165285110474,38.101257324219,2.8630409240723,1.4291895627975,69.305587768555,0
2018/4/19 1:40,0,16.982202529907,37.71866608,3.022068977,1.4927396774292,70.488693237305,0
2018/4/19 1:45,0,16.892387390137,38.531093597412,2.8666281700134,1.3562362194061,69.922920227051,0
2018/4/19 1:50,0,16.865129470825,38.870475769043,2.8244633674622,1.2918819189072,70.065155029297,0
2018/4/19 1:55,0,16.760345458984,39.220344543457,3.1076285839081,1.4465072154999,69.796188354492,0
2018/4/19 2:00,0,16.623249053955,39.461235046387,2.9909751415253,1.4581322669983,69.680587768555,0
2018/4/19 2:05,0,16.374189376831,40.136459350586,3.0899438858032,1.4589520692825,69.652641296387,0
2018/4/19 2:10,0,16.137010574341,40.884719848633,3.0034885406494,1.4453821182251,70.081123352051,0
2018/4/19 2:15,0,16.089128494263,40.572822570801,2.7606153488159,1.1916756629944,70.530555725098,0
2018/4/19 2:20,0,16.056064605713,40.46639252,3.1318426132202,1.6294165849686,69.25301361,0
2018/4/19 2:25,0,15.952394485474,40.695461273193,2.9086637496948,1.3471137285233,69.765930175781,0
2018/4/19 2:30,0,15.786557197571,41.121067047119,2.8638110160828,1.3049614429474,69.200828552246,0
2018/4/19 2:35,0,15.637239456177,41.692943572998,2.8891258239746,1.3774964809418,67.400100708008,0
2018/4/19 2:40,0,15.645634651184,42.220890045166,2.6862368583679,1.167184472,67.757614135742,0
2018/4/19 2:45,0,15.6648159,41.769054412842,2.5497469902039,1.0442204475403,69.213684082031,0
2018/4/19 2:50,0,15.640851974487,41.957256317139,2.6942155361176,1.1342005729675,68.755882263184,0
2018/4/19 2:55,0,15.664129257202,42.241630554199,2.5580272674561,0.97944319248199,70.132843017578,0
2018/4/19 3:00,0,15.646144866943,42.209804534912,2.6457505226135,1.1116321086884,69.839149475098,0
2018/4/19 3:05,0,15.51744556,42.143436431885,2.6551082134247,1.0678939819336,69.354110717773,0
2018/4/19 3:10,0,15.514947891235,42.564125061035,2.2031509876251,0.56879359483719,68.813621520996,0
2018/4/19 3:15,0,15.517679214478,42.718315124512,2.2166945934296,0.73865270614624,68.832969665527,0
2018/4/19 3:20,0,15.717095375061,43.104629516602,1.8188203573227,0.48908478021622,68.87361908,0
2018/4/19 3:25,0,16.227319717407,42.032127380371,1.4572409391403,0.46330830454826,69.054122924805,0
2018/4/19 3:30,0,17.659713745117,39.241695404053,1.2010300159454,0.44823598861694,69.72208405,0
2018/4/19 3:35,0,20.164192199707,33.75016785,1.1975569725037,0.45471334457397,69.480186462402,0
2018/4/19 3:40,0,22.179620742798,29.74220085,1.203750372,0.46663871407509,69.151512145996,0
2018/4/19 3:45,0,23.022577285767,27.895359039307,1.2085258960724,0.47983810305595,68.176391601562,0
2018/4/19 3:50,0,23.304275512695,27.343580245972,1.2104127407074,0.48535385727882,69.269729614258,0
2018/4/19 3:55,0,23.429136276245,27.059942245483,1.2075673341751,0.49160343408585,69.746192932129,0
2018/4/19 4:00,0,23.417362213135,27.05345917,1.2034702301025,0.49801123142242,69.762573242188,0
2018/4/19 4:05,0,23.424438476562,27.102434158325,1.2099959850311,0.50288671255112,70.037162780762,0
2018/4/19 4:10,0,23.669460296631,26.803186416626,1.2095049619675,0.50616884231567,70.33512878,0
2018/4/19 4:15,0,23.715627670288,26.66636467,1.294260263,0.51528269052505,70.181495666504,0
